"P_nought","P_one","P_two","R_one","R_two","A_one","A_two","S","t","phi","p_onetwo","total_passive","lmbda","c","N","mu","p","k_one","k_two","Q","X"
23.83977,28.16807,77.67264,6.63041,19.1423,0.00023,3.82509,-0.11654,97,0.11331,0.01169,129.68048,0.0518,4.6,159.0845,0.01562,0.18483,0.07208,0.01833,9,NA
21.67074,28.16807,79.84168,6.55295,19.28898,-0.00161,3.75315,-0.1129,98,0.11331,0.01169,129.68048,0.0518,4.6,159.0845,0.01562,0.18483,0.07208,0.01833,9,NA
19.48508,28.16807,82.02734,6.47626,19.43344,-0.00323,3.68256,-0.10938,99,0.11331,0.01169,129.68048,0.0518,4.6,159.0845,0.01562,0.18483,0.07208,0.01833,9,NA
17.28305,28.16807,84.22937,6.40035,19.57572,-0.00467,3.61331,-0.10596,100,0.11331,0.01169,129.68048,0.0518,4.6,159.0845,0.01562,0.18483,0.07208,0.01833,9,NA
15.0649,28.16807,86.44752,6.32522,19.71585,-0.00594,3.54536,-0.10265,101,0.11331,0.01169,129.68048,0.0518,4.6,159.0845,0.01562,0.18483,0.07208,0.01833,9,NA
12.83087,28.16807,88.68155,6.25088,19.85387,-0.00704,3.4787,-0.09944,102,0.11331,0.01169,129.68048,0.0518,4.6,159.0845,0.01562,0.18483,0.07208,0.01833,9,NA
10.5812,28.16807,90.93122,6.17733,19.98981,-0.00801,3.4133,-0.09634,103,0.11331,0.01169,129.68048,0.0518,4.6,159.0845,0.01562,0.18483,0.07208,0.01833,9,NA
8.31613,28.16807,93.19629,6.10457,20.1237,-0.00884,3.34913,-0.09333,104,0.11331,0.01169,129.68048,0.0518,4.6,159.0845,0.01562,0.18483,0.07208,0.01833,9,NA
6.03589,28.16807,95.47653,6.0326,20.25558,-0.00956,3.28618,-0.09041,105,0.11331,0.01169,129.68048,0.0518,4.6,159.0845,0.01562,0.18483,0.07208,0.01833,9,NA
3.7407,28.16807,97.77172,5.96142,20.38547,-0.01017,3.22442,-0.08759,106,0.11331,0.01169,129.68048,0.0518,4.6,159.0845,0.01562,0.18483,0.07208,0.01833,9,NA
1.4308,28.16807,100.08162,5.89103,20.5134,-0.01068,3.16383,-0.08485,107,0.11331,0.01169,129.68048,0.0518,4.6,159.0845,0.01562,0.18483,0.07208,0.01833,9,NA
-0.8936,28.16807,102.40602,5.82142,20.63941,-0.01111,3.10439,-0.0822,108,0.11331,0.01169,129.68048,0.0518,4.6,159.0845,0.01562,0.18483,0.07208,0.01833,9,NA
