t N Q dS dP0 dP1 dP2 dR1 dR2 dA1 dA2 S P0 P1 P2 R1 R2 A1 A2
32 200 8 -0.6842389658093 -0.0933322456789938 -9.82261472555711e-07 0 0.23065442604691 0.35202261130288 0.10158390421074 0.08792668494858 28.3326698184962 156.089647708625 9.82261472555711e-07 0 3.8520909350446 4.94493691823539 3.50464084998643 2.80655012510564
33 200 8 -0.754304390325299 -0.106914776754991 0 0 0.27106313665913 0.39004812838967 0.09541623119769 0.0999278835833897 27.6484308526869 155.996315462946 0 0 4.08274536109151 5.29695952953827 3.60622475419717 2.89447681005422
34 200 8 -0.685433423102602 -0.105926954278999 0 0 0.264686218144161 0.3537178150478 0.0723174758979699 0.0949018626973803 26.8941264623616 155.889400686191 0 0 4.35380849775064 5.68700765792794 3.70164098539486 2.99440469363761
35 200 8 -0.752036098894798 -0.131181015928007 0 0.00116691839803544 0.309693764344909 0.385561441270361 0.0658341643924998 0.10981013197602 26.208693039259 155.783473731912 0 0 4.6184947158948 6.04072547297574 3.77395846129283 3.08930655633499
36 200 8 -0.748742220009202 -0.150812649122003 0 0.0190003674337658 0.32339069080166 0.38147399685066 0.05535578700204 0.11587465547474 25.4566569403642 155.652292715984 0 0.00116691839803544 4.92818848023971 6.4262869142461 3.83979262568533 3.19911668831101
37 200 8 -0.676985558306399 -0.156484715142 0 0.0232369617971314 0.30286728194424 0.34503731108534 0.0450781718494802 0.11003849376325 24.707914720355 155.501480066862 0 0.0201672858318012 5.25157917104137 6.80776091109676 3.89514841268737 3.31499134378575
38 200 8 -0.7395035327202 -0.194835884233015 0 0.0330069020690288 0.346375155175649 0.38060189408258 0.0474391184062601 0.12463468568843 24.0309291620486 155.34499535172 0 0.0434042476289326 5.55444645298561 7.1527982221821 3.94022658453685 3.425029837549
39 200 8 -0.732390472074002 -0.220791840116988 0 0.0415254536974376 0.36700115124294 0.38490933966074 0.0484156891056498 0.12614126887842 23.2914256293284 155.150159467487 0 0.0764111496979614 5.90082160816126 7.53340011626468 3.98766570294311 3.54966452323743
40 200 8 -0.6577695362726 -0.225693421323996 0 0.045463708228052 0.3544052073629 0.355230951096421 0.0476188264195301 0.11365422963367 22.5590351572544 154.92936762737 0 0.117936603395399 6.2678227594042 7.91830945592542 4.03608139204876 3.67580579211585
41 200 8 -0.712152492167998 -0.278132347034017 0 0.058328426798639 0.41028797484623 0.39759771744226 0.0593491451067996 0.12084621854871 21.9012656209818 154.703674206046 0 0.163400311623451 6.6222279667671 8.27354040702184 4.08370021846829 3.78946002174952
42 200 8 -0.634305598228 -0.280977340054989 0 0.05982073238946 0.385134466749791 0.36748019193382 0.0625154108773707 0.10311820024716 21.1891131288138 154.425541859012 0 0.22172873842209 7.03251594161333 8.6711381244641 4.14304936357509 3.91030624029823
43 200 8 -0.680359382441601 -0.339632447018005 0 0.071450194974433 0.425071307953529 0.407846210323539 0.0798993822390495 0.10362708342419 20.5548075305858 154.144564518957 0 0.28154947081155 7.41765040836312 9.03861831639792 4.20556477445246 4.01342444054539
44 200 8 -0.660413784650299 -0.371017460903005 0 0.074384832903891 0.408691369970651 0.405515410395539 0.0927826842037103 0.0928799351583907 19.8744481481442 153.804932071939 0 0.352999665785983 7.84272171631665 9.44646452672146 4.28546415669151 4.11705152396958
45 200 8 -0.582935799075003 -0.363199448786986 0 0.068278533945601 0.34347219177077 0.3609092556202 0.0954339979860297 0.0757468363741998 19.2140343634939 153.433914611036 0 0.427384498689874 8.2514130862873 9.851979937117 4.37824684089522 4.20993145912797
46 200 8 -0.623006594168899 -0.425112339311994 0 0.076106271627267 0.34032167110518 0.383968512205302 0.115015500386241 0.0748718170554694 18.6310985644189 153.070715162249 0 0.495663032635475 8.59488527805807 10.2128891927372 4.47368083888125 4.28567829550217
47 200 8 -0.551475441361699 -0.407148034201015 0 0.072241462223947 0.27560210953825 0.3340125861302 0.11078503495744 0.0615547207494105 18.00809197025 152.645602822937 0 0.571769304262742 8.93520694916325 10.5968577049425 4.58869633926749 4.36055011255764
48 200 8 -0.5929325543838 -0.470866650072992 0 0.0870988580627711 0.2679032999339 0.3477192769786 0.12550204848591 0.0621634940099796 17.4566165288883 152.238454788736 0 0.644010766486689 9.2108090587015 10.9308702910727 4.69948137422493 4.42210483330705
49 200 8 -0.5813617416804 -0.500521192751989 2.57628322077916e-06 0.101194379658459 0.23310986932718 0.328615310833799 0.12599368297145 0.0571078806704302 16.8636839745045 151.767588138663 0 0.73110962454946 9.4787123586354 11.2785895680513 4.82498342271084 4.48426832731703
50 200 8 -0.520095472509 -0.488533057121998 5.66447642803869e-05 0.111151295239603 0.18286523162578 0.287184386319401 0.112045427078789 0.0463884496387301 16.2823222328241 151.267066945911 2.57628322077916e-06 0.832304004207919 9.71182222796258 11.6072048788851 4.95097710568229 4.54137620798746
51 200 8 -0.563994225858099 -0.58465769911902 8.41700003730419e-05 0.154938501725168 0.16755246008854 0.3090664311349 0.117920872296311 0.0419810964321101 15.7622267603151 150.778533888789 5.92210475011661e-05 0.943455299447522 9.89468745958836 11.8943892652045 5.06302253276108 4.58776465762619
52 200 8 -0.5060960077962 -0.585492309942993 9.9044210777334e-05 0.18459242451452 0.119166950374 0.2776689768999 0.10088199328194 0.0265940102330804 15.198232534457 150.19387618967 0.000143391047874208 1.09839380117269 10.0622399196769 12.2034556963394 5.18094340505739 4.6297457540583
53 200 8 -0.5495998901579 -0.718195010026989 0.000136112391824497 0.26900426841991 0.0958961906514002 0.303070933968399 0.10241877554871 0.01170787058249 14.6921365266608 149.608383879727 0.000242435258651542 1.28298622568721 10.1814068700509 12.4811246732393 5.28182539833933 4.65633976429138
54 200 8 -0.541467329183 -0.813515399636003 0.000165919684163495 0.35564780948439 0.0650777603721 0.3019628177563 0.0915381512875806 -0.0126865170506303 14.1425366365029 148.8901888697 0.000378547650476039 1.55199049410712 10.2773030607023 12.7841956072077 5.38424417388804 4.66804763487387
55 200 8 -0.4841951240674 -0.838249146189014 0.000176370852902256 0.41237803056607 0.0403605094443993 0.2730269016925 0.0717950075038694 -0.0374215785573497 13.6010693073199 148.076673470064 0.000544467334639534 1.90763830359151 10.3423808210744 13.086158424964 5.47578232517562 4.65536111782324
56 200 8 -0.5224217875358 -1.04802047873198 0.000219369650325797 0.56857240263312 0.0320201549299011 0.295461800445501 0.0641123380536603 -0.0730330022090504 13.1168741832525 147.238424323875 0.00072083818754179 2.32001633415758 10.3827413305188 13.3591853266565 5.54757733267949 4.61793953926589
57 200 8 -0.464354969494401 -1.07951264596801 0.000217306730048873 0.63871571606967 0.0235226332608995 0.2627370650576 0.04295890441447 -0.0971889449652501 12.5944523957167 146.190403845143 0.000940207837867587 2.8885887367907 10.4147614854487 13.654647127102 5.61168967073315 4.54490653705684
58 200 8 -0.497531842762799 -1.333633553444 0.00024883777672374 0.85670596857053 0.0228167166575002 0.2840945977935 0.0291264613626696 -0.14191478692624 12.1300974262223 145.110891199175 0.00115751456791646 3.52730445286037 10.4382841187096 13.9173841921596 5.65464857514762 4.44771759209159
59 200 8 -0.481925001579501 -1.485655299456 0.00024336954247815 1.03654874255652 0.0188075673364008 0.279754601934201 0.00988299256530034 -0.17768956437067 11.6325655834595 143.777257645731 0.0014063523446402 4.3840104214309 10.4611008353671 14.2014787899531 5.68377503651029 4.30580280516535
60 200 8 -0.4232074836483 -1.47675799849 0.00019738532079675 1.10924286523786 0.013749720817799 0.2473084270974 -0.00721307838028995 -0.18980808644439 11.15064058188 142.291602346275 0.00164972188711835 5.42055916398742 10.4799084027035 14.4812333918873 5.69365802907559 4.12811324079468
61 200 8 -0.447749606038599 -1.75462364009599 0.00016266087502471 1.41007511429316 0.0108649351039993 0.2593769978906 -0.0240207939217099 -0.23591948515873 10.7274330982317 140.814844347785 0.0018471072079151 6.52980202922528 10.4936581235213 14.7285418189847 5.6864449506953 3.93830515435029
62 200 8 -0.427420471094571 -1.882484831548 6.75656291705602e-05 1.61094986824661 0.00482547566980074 0.2402791884218 -0.0380640275870299 -0.25976239280485 10.2796834921931 139.060220707689 0.00200976808293981 7.93987714351844 10.5045230586253 14.9879188168753 5.66242415677359 3.70238566919156
63 200 8 -0.36907819932433 -1.81601805809601 -6.187536971459e-05 1.63560040311845 -0.00390209317910006 0.195562343957599 -0.0439207837667501 -0.25180297919045 9.85226302109853 137.177735876141 0.00207733371211037 9.55082701176505 10.5093485342951 15.2281980052971 5.62436012918656 3.44262327638671
64 200 8 -0.382302181264659 -2.10641837746201 -0.00025757121784904 1.979545974761 -0.0167122644340996 0.1847047123269 -0.0560110275329899 -0.28733219643505 9.4831848217742 135.361717818045 0.00201545834239578 11.1864274148835 10.505446441116 15.4237603492547 5.58043934541981 3.19082029719626
65 200 8 -0.324232985251371 -2.01006755833299 -0.00046135413572427 1.9506380636035 -0.0272575640869004 0.1413311836197 -0.0566643480524807 -0.26431639967743 9.10088264050954 133.255299440583 0.00175788712454674 13.1659733896445 10.4887341766819 15.6084650615816 5.52442831788682 2.90348810076121
66 200 8 -0.329788681701661 -2.31334282313 -0.00082718800635576 2.2898505335411 -0.0424157964851002 0.1340186543681 -0.0680693761292295 -0.28756812982997 8.77664965525817 131.24523188225 0.00129653298882247 15.116611453248 10.461476612595 15.7497962452013 5.46776396983434 2.63917170108378
67 200 8 -0.301055662390569 -2.41840910099 -0.00046934498246671 2.4162441167388 -0.0552921120183996 0.121560313600101 -0.0741120404903803 -0.27792536656719 8.44686097355651 128.93188905912 0.00046934498246671 17.4064619867891 10.4190608161099 15.8838148995694 5.39969459370511 2.35160357125381
68 200 8 -0.24861873451863 -2.28633379198 0 2.2884612339209 -0.0633402832492997 0.1063494375212 -0.0728611674538699 -0.23946843415687 8.14580531116594 126.51347995813 0 19.8227061035279 10.3637687040915 16.0053752131695 5.32558255321473 2.07367820468662
69 200 8 -0.2462796766134 -2.608923011211 0 2.6056387020857 -0.087964590114801 0.120937370948901 -0.0863071660156098 -0.24482329753525 7.89718657664731 124.22714616615 0 22.1111673374488 10.3004284208422 16.1117246506907 5.25272138576086 1.83420977052975
70 200 8 -0.20012132209801 -2.45676345003301 0 2.4400283527458 -0.0990442324621998 0.123471675017697 -0.0836798899108597 -0.20338278944521 7.65090690003391 121.618223154939 0 24.7168060395345 10.2124638307274 16.2326620216396 5.16641421974525 1.5893864729945
71 200 8 -0.19563344816665 -2.79922331177299 0 2.7505465644629 -0.129348168842789 0.1644455073776 -0.0966759763024205 -0.20137781148547 7.4507855779359 119.161459704906 0 27.1568343922803 10.1134195982652 16.3561336966573 5.08273432983439 1.38600368354929
72 200 8 -0.172098143406011 -2.907486230233 0 2.8097090205649 -0.148421573642361 0.208135375346799 -0.0992424987351699 -0.17792774092372 7.25515212976925 116.362236393133 0 29.9073809567432 9.98407142942241 16.5205792040349 4.98605835353197 1.18462587206382
73 200 8 -0.13807867216196 -2.741189878252 0 2.6022109045198 -0.15091329926034 0.235677504945301 -0.0894653044888498 -0.14228114116564 7.08305398636324 113.4547501629 0 32.7170899773081 9.83564985578005 16.7287145793817 4.8868158547968 1.0066981311401
74 200 8 -0.134008916060339 -3.124755153769 0 2.9157293729299 -0.18367466139202 0.3155707250754 -0.0938206387593699 -0.13693859552619 6.94497531420128 110.713560284648 0 35.3193008818279 9.68473655651971 16.964392084327 4.79735055030795 0.86441698997446
75 200 8 -0.107588278525481 -2.942037493673 0 2.70173839731689 -0.18227316082513 0.339846164344102 -0.07798556491535 -0.10890296262534 6.81096639814094 107.588805130879 0 38.2350302547578 9.50106189512769 17.2799628094024 4.70352991154858 0.72747839444827
76 200 8 -0.104816521944089 -3.35445505260699 0 3.0309046268993 -0.219384796509619 0.434755443042597 -0.0746401398439502 -0.105230378548757 6.70337811961546 104.646767637206 0 40.9367686520747 9.31878873430256 17.6198089737465 4.62554434663323 0.61857543182293
77 200 8 -0.0926035014940805 -3.48810747018661 0 3.0953502620766 -0.243654275746131 0.500027835551101 -0.0602727993564898 -0.092344872012371 6.59856159767137 101.292312584599 0 43.967673278974 9.09940393779294 18.0545644167891 4.55090420678928 0.513345053274173
78 200 8 -0.0749808959406595 -3.2959066656197 0 2.8745902285475 -0.242238056253889 0.507555743523099 -0.0413060795536699 -0.074451785712856 6.50595809617729 97.8042051144124 0 47.0630235410506 8.85574966204681 18.5545922523402 4.49063140743279 0.421000181261802
79 200 8 -0.0734655065648004 -3.7701350786725 0 3.2417768997782 -0.280202407033231 0.6046424819659 -0.03140135892638 -0.072805002497834 6.43097720023663 94.5082984487927 0 49.9376137695981 8.61351160579292 19.0621479958633 4.44932532787912 0.346548395548946
80 200 8 -0.0646725366059995 -3.92108889426591 0 3.3435575964252 -0.27843902324129 0.634999916833202 -0.01952006112516 -0.064103947160655 6.35751169367183 90.7381633701202 0 53.1793906693763 8.33330919875969 19.6667904778292 4.41792396895274 0.273743393051112
81 200 8 -0.0514616316902003 -3.6937362989207 0 3.1449597660167 -0.234666925224199 0.5884425186062 -0.01119325497893 -0.051034597119636 6.29283915706583 86.8170744758543 0 56.5229482658015 8.0548701755184 20.3017903946624 4.39840390782758 0.209639445890457
