"S","A1","A2","P1","P2","R1","R2","t","Q","N"
15.3091189046218,5.63369539072445,2.18333625482215,4.02374760310707e-08,0.00035062462864356,3.80316860399179,15.8090320669533,506,8,200
15.2383849326769,5.64164194572582,2.16814165552529,4.02374760310707e-08,0.000353521826070989,3.77810018665826,15.9087933811464,507,8,200
15.1677089467969,5.64954562760874,2.15262142163277,4.02374760310707e-08,0.000356437273176234,3.75225912160346,16.009004140304,508,8,200
15.0970907002242,5.65740607022962,2.13677249985958,4.02374760310707e-08,0.000359371052883368,3.72563947490506,16.1096702436332,509,8,200
15.0265299141854,5.66522290372449,2.12059208295911,4.02374760310707e-08,0.000362323249202128,3.69823614587118,16.2107976526141,510,8,200
14.9560262797863,5.67299575479041,2.1040776076314,4.02374760310707e-08,0.000365293947236761,3.67004485294438,16.312392377307,511,8,200
14.8855794601761,5.68072424696524,2.08722674953072,4.02374760310707e-08,0.000368283233192445,3.6410621103917,16.414460463031,512,8,200
14.8151890929685,5.68840800090218,2.07003741532774,4.02374760310707e-08,0.000371291194379381,3.61128519572129,16.5170079775762,513,8,200
14.7448547929058,5.69604663463599,2.05250773181182,4.02374760310707e-08,0.000374317919214683,3.58071210786141,16.6200409991149,514,8,200
14.6745761547477,5.70363976383718,2.03463603204957,4.02374760310707e-08,0.000377363497222227,3.54934151623893,16.7235656049724,515,8,200
14.6043527563656,5.7111870020509,2.01642083864977,4.02374760310707e-08,0.000380428019030633,3.51717270099897,16.8275878614201,516,8,200
14.5341841620183,5.71868796091712,1.99786084421843,4.02374760310707e-08,0.000383511576369612,3.48420548471609,16.9321138146453,517,8,200
14.4640699257841,5.72614225036882,1.97895488912356,4.02374760310707e-08,0.000386614262064903,3.45044015605797,17.0371494830464,518,8,200
14.3940095951216,5.73354947880503,1.95970193672543,4.02374760310707e-08,0.000389736170032075,3.41587738597474,17.1427008509947,519,8,200
14.3240027145273,5.74090925323579,1.94010104626427,4.02374760310707e-08,0.000392877395269488,3.38051813709877,17.2487738641919,520,8,200
14.2540488292594,5.74822117939618,1.92015134363387,4.02374760310707e-08,0.000396038033850716,3.34436356715029,17.3553744267414,521,8,200
14.1841474890917,5.75548486182709,1.89985199030511,4.02374760310707e-08,0.000399218182916767,3.30741492725147,17.4625084000344,522,8,200
14.1142982520639,5.7626999039203,1.87920215069803,4.02374760310707e-08,0.00040241794066845,3.26967345615462,17.5701816035387,523,8,200
14.0445006881885,5.76986590792624,1.85820095833387,4.02374760310707e-08,0.000405637406359241,3.23114027148632,17.6783998175549,524,8,200
13.9747543830789,5.77698247492283,1.83684748112913,4.02374760310707e-08,0.000408876680289022,3.1918162591978,17.7871687879898,525,8,200
13.9050589414596,5.78404920474433,1.81514068622154,4.02374760310707e-08,0.000412135863799055,3.15170196249061,17.8964942331693,526,8,200
