A, S, R, P, C,
0.0       , 16.26085  , 17.87591  , 40.84986  , 172.38027 , 
0.0       , 16.15943  , 17.97694  , 38.60286  , 174.588   , 
0.0       , 16.05818  , 18.07782  , 36.38669  , 176.76194 , 
0.0       , 15.95708  , 18.17853  , 34.20467  , 178.89855 , 
0.0       , 15.85614  , 18.27908  , 32.06037  , 180.99404 , 
0.0       , 15.75538  , 18.37945  , 29.95756  , 183.04441 , 
0.0       , 15.65479  , 18.47965  , 27.90027  , 185.0454  , 
0.0       , 15.55438  , 18.57966  , 25.89279  , 186.99254 , 
0.0       , 15.45416  , 18.67948  , 23.93956  , 188.88119 , 
0.0       , 15.35414  , 18.77911  , 22.04528  , 190.70652 , 
0.0       , 15.25431  , 18.87853  , 20.21473  , 192.46367 , 
0.0       , 15.15468  , 18.97775  , 18.45283  , 194.14771 , 
0.0       , 15.05527  , 19.07676  , 16.76446  , 195.75385 , 
0.0       , 14.95607  , 19.17555  , 15.15444  , 197.27751 , 
0.0       , 14.85709  , 19.27412  , 13.62734  , 198.71446 , 
0.0       , 14.75833  , 19.37246  , 12.18736  , 200.06104 , 
0.0       , 14.65981  , 19.47057  , 10.83815  , 201.31429 , 
0.0       , 14.56151  , 19.56844  , 9.58265   , 202.47216 , 
0.0       , 14.46346  , 19.66607  , 8.42289   , 203.53365 , 
0.0       , 14.36566  , 19.76345  , 7.35983   , 204.49895 , 
0.0       , 14.26811  , 19.86058  , 6.39325   , 205.3695  , 
0.0       , 14.17081  , 19.95745  , 5.52167   , 206.14801 , 
0.0       , 14.07377  , 20.05406  , 4.74235   , 206.83838 , 
0.0       , 13.977    , 20.1504   , 4.05135   , 207.44554 , 
0.0       , 13.88049  , 20.24647  , 3.4437    , 207.9753  , 
0.0       , 13.78426  , 20.34226  , 2.91358   , 208.43404 , 
0.0       , 13.68831  , 20.43778  , 2.45457   , 208.82849 , 
0.0       , 13.59265  , 20.533    , 2.05992   , 209.16547 , 
0.0       , 13.49727  , 20.62794  , 1.7228    , 209.45167 , 
0.0       , 13.40218  , 20.72258  , 1.4365    , 209.69348 , 
0.0       , 13.30739  , 20.81692  , 1.19462   , 209.89684 , 
0.0       , 13.21291  , 20.91096  , 0.99121   , 210.06719 , 
0.0       , 13.11873  , 21.00469  , 0.82083   , 210.20938 , 
0.0       , 13.02486  , 21.09812  , 0.67862   , 210.32772 , 
